1.0868,0.88392,0.95839,1.5173,0.88219,0.55983,0.64446,1.376,1.1574,0.70838,1.1485,1.0422,0.7918,0.54834,0.72792,1.1283,0.92309,0.34775,0.97967,0.925
1.1598,0.8646,0.95691,1.5376,0.90249,0.55983,0.62761,1.376,1.1472,0.71059,1.142,1.0405,0.85377,0.52407,0.72865,1.1604,0.98081,0.33107,0.99567,0.94334
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0359,1.2565,1.3579,1.4766,0.61586,0.35626,0.55156,0.82098,0.93172,0.69656,1.1693,0.87287,0.74207,1.0395,1.2456,1.1721,0.7875,0.46185,0.77063,0.54653
0.99891,1.1887,1.2886,1.4149,0.61586,0.35626,0.55156,0.82098,0.93365,0.67387,1.1572,0.86228,0.70026,0.97435,1.1703,1.1171,0.80384,0.43956,0.75382,0.51788
0.9702,1.1004,1.198,1.3583,0.61586,0.354,0.55156,0.82098,0.92405,0.65017,1.1441,0.85738,0.65406,0.89235,1.0674,1.0628,0.80707,0.41701,0.74418,0.5
0.94713,0.98703,1.0957,1.3066,0.61586,0.32528,0.54781,0.82098,0.90768,0.62641,1.1289,0.85708,0.60825,0.78957,0.94464,1.0107,0.80063,0.40104,0.74143,0.48863
0.92564,0.84516,0.99698,1.258,0.61586,0.27601,0.52526,0.82098,0.88739,0.60331,1.1094,0.85697,0.56717,0.66047,0.81811,0.96093,0.79132,0.39219,0.74386,0.48057
0.90411,0.68346,0.91887,1.2128,0.61586,0.18096,0.50031,0.82098,0.86527,0.58135,1.0853,0.85425,0.5346,0.51246,0.71211,0.9153,0.78514,0.38636,0.74859,0.47349
0.8846,0.535,0.86655,1.1712,0.61586,0.066996,0.47857,0.83056,0.84443,0.56147,1.0579,0.84851,0.51553,0.37498,0.64047,0.87409,0.78221,0.38078,0.75288,0.46667
0.87349,0.43232,0.82604,1.1345,0.61586,-0.017448,0.44569,0.83413,0.82915,0.54561,1.0287,0.84267,0.51993,0.27774,0.58976,0.83891,0.77859,0.37651,0.75604,0.45971
